INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-09-05T14:00:00-00:00,2022-09-05T15:00:00-00:00,0,2022-09-05,8,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,107,ACTUAL,5
2022-09-05T13:00:00-00:00,2022-09-05T14:00:00-00:00,0,2022-09-05,7,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,102,ACTUAL,5
2022-09-05T08:00:00-00:00,2022-09-05T09:00:00-00:00,0,2022-09-05,2,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,104,ACTUAL,5
2022-09-06T06:00:00-00:00,2022-09-06T07:00:00-00:00,0,2022-09-05,24,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,142,ACTUAL,5
2022-09-06T02:00:00-00:00,2022-09-06T03:00:00-00:00,0,2022-09-05,20,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,226,ACTUAL,5
2022-09-05T17:00:00-00:00,2022-09-05T18:00:00-00:00,0,2022-09-05,11,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,155,ACTUAL,5
2022-09-06T03:00:00-00:00,2022-09-06T04:00:00-00:00,0,2022-09-05,21,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,205,ACTUAL,5
2022-09-05T15:00:00-00:00,2022-09-05T16:00:00-00:00,0,2022-09-05,9,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,118,ACTUAL,5
2022-09-05T12:00:00-00:00,2022-09-05T13:00:00-00:00,0,2022-09-05,6,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,99,ACTUAL,5
2022-09-06T05:00:00-00:00,2022-09-06T06:00:00-00:00,0,2022-09-05,23,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,161,ACTUAL,5
2022-09-06T01:00:00-00:00,2022-09-06T02:00:00-00:00,0,2022-09-05,19,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,247,ACTUAL,5
2022-09-05T23:00:00-00:00,2022-09-06T00:00:00-00:00,0,2022-09-05,17,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,257,ACTUAL,5
2022-09-05T22:00:00-00:00,2022-09-05T23:00:00-00:00,0,2022-09-05,16,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,250,ACTUAL,5
2022-09-05T20:00:00-00:00,2022-09-05T21:00:00-00:00,0,2022-09-05,14,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,221,ACTUAL,5
2022-09-05T16:00:00-00:00,2022-09-05T17:00:00-00:00,0,2022-09-05,10,0,ACTUAL,BANCRSVL,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,175,ACTUAL,6
2022-09-05T18:00:00-00:00,2022-09-05T19:00:00-00:00,0,2022-09-05,12,0,ACTUAL,BANCRSVL,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,227,ACTUAL,6
2022-09-06T04:00:00-00:00,2022-09-06T05:00:00-00:00,0,2022-09-05,22,0,ACTUAL,BANCRSVL,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,262,ACTUAL,6
2022-09-05T19:00:00-00:00,2022-09-05T20:00:00-00:00,0,2022-09-05,13,0,ACTUAL,BANCRSVL,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,253,ACTUAL,6
2022-09-05T21:00:00-00:00,2022-09-05T22:00:00-00:00,0,2022-09-05,15,0,ACTUAL,BANCRSVL,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,304,ACTUAL,6
