INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3449.97,DAM,13
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3876.67,DAM,14
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3500.96,DAM,14
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3361.58,DAM,14
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3120.41,DAM,14
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4021.4,DAM,14
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3652.32,DAM,14
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,LADWP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2819.42,DAM,14
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,147.17,DAM,15
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,134.1,DAM,15
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,133.28,DAM,15
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,134.22,DAM,15
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,140.92,DAM,15
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,141.07,DAM,15
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,MWD-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.3,133.2,DAM,15
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7359.12,DAM,16
